VERSIE,DATUM_BESTAND,PEILDATUM,DIAGNOSE_CD,SPECIALISME_CD,DIAGNOSE_OMSCHRIJVING
1.0,2017-04-18,2017-04-01,10,0390,Tractus circulatorius en aangeboren afwijkingen
1.0,2017-04-18,2017-04-01,12,1900,Taal
1.0,2017-04-18,2017-04-01,1031,0305,"Overige gegeneraliseerde afwijking van bot, spier, zenuw, collageen, gewricht"
1.0,2017-04-18,2017-04-01,426,0303,Lymfoedeem primair en secundair onderste extremiteiten
1.0,2017-04-18,2017-04-01,9920,0330,"Geen neurologie, werkdiagnose multiple sclerose"
1.0,2017-04-18,2017-04-01,41,0302,Tumor neusbijholten
1.0,2017-04-18,2017-04-01,1565,0305,Verworven stand- en lengteafwijking elleboog/onderarm
1.0,2017-04-18,2017-04-01,1630,0305,Carpaal tunnel syndroom
1.0,2017-04-18,2017-04-01,292,0313,Porfyrie
1.0,2017-04-18,2017-04-01,253,0304,Reconstructie geslachtsorgaan mbv microvasculaire vrije lap transplantatie
1.0,2017-04-18,2017-04-01,332,0303,Maligne neoplasma pancreas / galwegen
1.0,2017-04-18,2017-04-01,000,0361,Traject
1.0,2017-04-18,2017-04-01,284,0303,Brandwond ernstig
1.0,2017-04-18,2017-04-01,331,0313,Continue ambulante peritoneale dialyse (CAPD)
1.0,2017-04-18,2017-04-01,346,0303,"Maligne neoplasma maag, exclusief cardia"
1.0,2017-04-18,2017-04-01,301,0318,Gastro-oesofageale refluxziekte/oesofagitis
1.0,2017-04-18,2017-04-01,406,0318,Motiliteitsstoornis
1.0,2017-04-18,2017-04-01,12,0390,Tractus digestivus en aangeboren afwijkingen
1.0,2017-04-18,2017-04-01,655,0301,Retinopathie (excl. DRP)
1.0,2017-04-18,2017-04-01,3025,0305,Enkel
1.0,2017-04-18,2017-04-01,1221,0330,Postlaminectomiesyndroom
1.0,2017-04-18,2017-04-01,63,0320,"(verdenking) aorta afwijking, acuut / chronisch"
1.0,2017-04-18,2017-04-01,030,0306,Blaastumor
1.0,2017-04-18,2017-04-01,7399,0316,Overige oogaandoeningen
1.0,2017-04-18,2017-04-01,159,0301,Overige visusstoornis
1.0,2017-04-18,2017-04-01,611,0313,allergische huidafwijking
1.0,2017-04-18,2017-04-01,1496,0305,Posttraumatische afwijking schoudergordel/bovenarm
1.0,2017-04-18,2017-04-01,0415,0327,Overige neurologische aandoeningen
1.0,2017-04-18,2017-04-01,76,0306,Overige urethrapathologie
1.0,2017-04-18,2017-04-01,B17,0307,"Begeleiding partus in verband met foetale hartritmestoornis met specifieke bewakingsbehoefte, inclusief complicaties, nazorg en nacontrole"
1.0,2017-04-18,2017-04-01,1966,0305,Groeischijflesie verworven onderbeen
1.0,2017-04-18,2017-04-01,2057,0305,Metatarsus primus varus
1.0,2017-04-18,2017-04-01,2090,0305,Overige posttraumatische afwijking enkel en voet
1.0,2017-04-18,2017-04-01,0712,0327,Chronische Pijnsyndroom WPN 2
1.0,2017-04-18,2017-04-01,056,0306,Hypospadie
1.0,2017-04-18,2017-04-01,E5,0326,"Combinatie E1,E2,E3,en/of E4"
1.0,2017-04-18,2017-04-01,F1,0326,Jeuk e.c.i.
1.0,2017-04-18,2017-04-01,C33,0327,CVA klasse 3
1.0,2017-04-18,2017-04-01,28,0306,Overige ureterpathologie
1.0,2017-04-18,2017-04-01,1693,0305,Overige congenitale afwijking hand/pols
1.0,2017-04-18,2017-04-01,551,0303,Darmtransplantatietraject ontvanger
1.0,2017-04-18,2017-04-01,7904,0316,Levertransplantatietraject ontvanger
1.0,2017-04-18,2017-04-01,413,0313,Intra-abdominale infectie/peritonitis
1.0,2017-04-18,2017-04-01,433,0313,koorts bij neutropenie
1.0,2017-04-18,2017-04-01,1057,0305,Arthrogryposis multiplex congenita
1.0,2017-04-18,2017-04-01,3503,0316,Epilepsie
1.0,2017-04-18,2017-04-01,47,0320,hartklepafwijking
1.0,2017-04-18,2017-04-01,1970,0305,Overige posttraumatische afwijking onderbeen
1.0,2017-04-18,2017-04-01,2040,0305,Klompvoet
1.0,2017-04-18,2017-04-01,0713,0327,Chronische Pijnsyndroom WPN 3
1.0,2017-04-18,2017-04-01,703,0324,Carpaal Tunnel Syndroom / overig entrapment
1.0,2017-04-18,2017-04-01,1308,0322,Metastasen van proces elders
1.0,2017-04-18,2017-04-01,064,0306,Varicocele
1.0,2017-04-18,2017-04-01,6112,0316,Maligne lymfoom
1.0,2017-04-18,2017-04-01,204,8418,Knie revisie
1.0,2017-04-18,2017-04-01,106,0306,Congenitale uterus pathologie
1.0,2017-04-18,2017-04-01,45,0306,Lymfnodi prostaatcarcinoom
1.0,2017-04-18,2017-04-01,403,0324,Perifeer - heupen / knieën
1.0,2017-04-18,2017-04-01,503,0324,Schouder problematiek
1.0,2017-04-18,2017-04-01,3425,0308,"Complexe behandeling functiestoornis perifere zenuwstelsel (o.a. uitgebreide denervatie, exclusief electrostimulatie)"
1.0,2017-04-18,2017-04-01,1805,0316,luchtlekkage problemen
1.0,2017-04-18,2017-04-01,110,0318,proctoscopie/ligatie
1.0,2017-04-18,2017-04-01,1020,0305,Spina bifida
1.0,2017-04-18,2017-04-01,023,0313,Analyse trombose zonder diagnose
1.0,2017-04-18,2017-04-01,150,0389,Complex regionaal pijn syndroom
1.0,2017-04-18,2017-04-01,1530,0328,Thoraxwandresectie met of zonder longresectie
1.0,2017-04-18,2017-04-01,342,0303,Morbide obesitas BMI >45
1.0,2017-04-18,2017-04-01,559,0301,Overige pathologie lens
1.0,2017-04-18,2017-04-01,2125,0308,Verwijderen intramedullaire tumor
1.0,2017-04-18,2017-04-01,3019,0305,Femur proximaal (+ collum)
1.0,2017-04-18,2017-04-01,206,0313,Nodus schildklier
1.0,2017-04-18,2017-04-01,7701,0316,Bijna-verdrinking / hypothermie
1.0,2017-04-18,2017-04-01,351,0303,"Lymfadenopathie e.c.i., n.n.o."
1.0,2017-04-18,2017-04-01,298,0303,Posttraumatische afwijking bovenste extremiteiten
1.0,2017-04-18,2017-04-01,72,0320,hypertensie
1.0,2017-04-18,2017-04-01,2390,0328,Implantatie bi-polaire PM elektrode
1.0,2017-04-18,2017-04-01,3602,0305,Letsel intrathoracale organen
1.0,2017-04-18,2017-04-01,959,0301,Overige oogafwijkingen
1.0,2017-04-18,2017-04-01,313,0303,"Neoplasma bronchus, long"
1.0,2017-04-18,2017-04-01,248,0313,Hypopituitarisme
1.0,2017-04-18,2017-04-01,433,0304,Stabilisatie distale ulna
1.0,2017-04-18,2017-04-01,2660,0328,Ao. wortel + MVR/MPL
1.0,2017-04-18,2017-04-01,2750,0328,Ao. asc. + kleprecontructie
1.0,2017-04-18,2017-04-01,355,0304,"Microchir. herstel hoofdzenuw(en) medianus, ulnaris, radialis of >2 dig. zenuwen"
1.0,2017-04-18,2017-04-01,336,0362,Intraperitoneale ruimte
1.0,2017-04-18,2017-04-01,599,0313,"Overige systeemziekten, vasculitis nno"
1.0,2017-04-18,2017-04-01,699,0324,Overige botziekten
1.0,2017-04-18,2017-04-01,D43,0327,Spina bifida klasse 3
1.0,2017-04-18,2017-04-01,049,0313,Incongruentie genderidentiteit
1.0,2017-04-18,2017-04-01,7607,0316,Hyperventilatie
1.0,2017-04-18,2017-04-01,1306,0322,Mediastinale tumoren
1.0,2017-04-18,2017-04-01,8916,0316,Prenatale consultatie kinderarts (m.u.v. cardiale screening 3412)
1.0,2017-04-18,2017-04-01,9950,0322,Palliatieve zorg
1.0,2017-04-18,2017-04-01,000,0324,Traject
1.0,2017-04-18,2017-04-01,203,0324,Spondylartropathie niet gedifferentieerd
1.0,2017-04-18,2017-04-01,513,8418,Oncologische aandoeningen
1.0,2017-04-18,2017-04-01,54,0306,Impotentie/sexuele dysfunctie
1.0,2017-04-18,2017-04-01,142,0303,Meniscuslesie (geen vers letsel)
1.0,2017-04-18,2017-04-01,258,0303,Heup / knie
1.0,2017-04-18,2017-04-01,708,0303,Brandwonden in gespecialiseerd brandwondencentrum met 70-79 % lichaamsoppervlak aangedaan
1.0,2017-04-18,2017-04-01,063,0389,Sympatalgiform thoracaal
1.0,2017-04-18,2017-04-01,287,0303,Stand- en lengte-afwijking onderste extremiteiten
1.0,2017-04-18,2017-04-01,130,0389,Perifere zenuwpijn (inclusief PHN)
1.0,2017-04-18,2017-04-01,0199,0330,Overige neuro-infecties
1.0,2017-04-18,2017-04-01,3210,0305,"Enkel, voetwortel"
1.0,2017-04-18,2017-04-01,3402,0305,Malletvinger
1.0,2017-04-18,2017-04-01,315,0389,Arteria pulmonalis catheter
1.0,2017-04-18,2017-04-01,953,0313,Galwegobstructie zonder stenen
1.0,2017-04-18,2017-04-01,023,0306,Vesico-ureterale reflux
1.0,2017-04-18,2017-04-01,297,0303,Posttraumatische afwijking onderste extremiteiten
1.0,2017-04-18,2017-04-01,2315,0328,Harttrauma (LV ruptuur)
1.0,2017-04-18,2017-04-01,2420,0328,AVR + MVR
1.0,2017-04-18,2017-04-01,214,0313,Maligniteit schildklier
1.0,2017-04-18,2017-04-01,186,0304,"Reconstructie met gevasculariseerd weefsel van schedel, orbita, neus, mandibula"
1.0,2017-04-18,2017-04-01,341,0304,"Mallet finger chirurgisch, strekpees letsel 1-2 pezen"
1.0,2017-04-18,2017-04-01,463,0313,Virale hepatitis (niet hepatitis B/C: zie code 944)
1.0,2017-04-18,2017-04-01,212,0362,Vena jugularis externa
1.0,2017-04-18,2017-04-01,M99,0307,Maligniteit overige
1.0,2017-04-18,2017-04-01,064,0304,Liposuctie combinaties 3 of meer regio's bdz.
1.0,2017-04-18,2017-04-01,321,0335,Aandoeningen van bewegingsstelsel en bindweefsel
1.0,2017-04-18,2017-04-01,723,0313,HIT
1.0,2017-04-18,2017-04-01,7699,0316,Overige psychosociale problemen (oa. pedagogisch)
1.0,2017-04-18,2017-04-01,194,0362,Arteria poplitea
1.0,2017-04-18,2017-04-01,405,0318,Ischemie
1.0,2017-04-18,2017-04-01,392,0304,Separatie syndactylie multipele stralen
1.0,2017-04-18,2017-04-01,4005,0316,"Nierinsufficiëntie, acute"
1.0,2017-04-18,2017-04-01,410,0303,Vaatletsel bovenste extremiteiten
1.0,2017-04-18,2017-04-01,3204,0305,"Pols, inclusief radio-ulnair en carpalia"
1.0,2017-04-18,2017-04-01,F23,0327,Hart/bloedvaten 3
1.0,2017-04-18,2017-04-01,451,0313,"Osteomyelitis, infectie van (gewrichts)prothese of implantaat"
1.0,2017-04-18,2017-04-01,175,0304,Botimplantaat in kaak
1.0,2017-04-18,2017-04-01,7805,0316,Lymfadenitis / lymfadenopathie
1.0,2017-04-18,2017-04-01,F21,0307,Gespecialiseerde technieken
1.0,2017-04-18,2017-04-01,856,0303,Overige congenitale vagina afwijking
1.0,2017-04-18,2017-04-01,511,0313,"Reiter, reactieve artropathie"
1.0,2017-04-18,2017-04-01,2525,0308,Cervicale laterale of anterieure discectomie
1.0,2017-04-18,2017-04-01,4199,0316,Overige urologische aandoeningen
1.0,2017-04-18,2017-04-01,313,0362,Tracheobronchiaal
1.0,2017-04-18,2017-04-01,913,0313,Benigne ulcus ventriculi
1.0,2017-04-18,2017-04-01,3110,0328,Arterioveneuze fistel
1.0,2017-04-18,2017-04-01,1480,0305,AC en SC afwijking
1.0,2017-04-18,2017-04-01,45,0320,gecorrigeerde congenitale hartafwijking met restafwijkingen
1.0,2017-04-18,2017-04-01,2310,0328,Aanleggen Blalock shunt
1.0,2017-04-18,2017-04-01,1927,0305,Congenitale tibia pseudarthrose
1.0,2017-04-18,2017-04-01,A14,0327,Aangeboren aandoening skelet
1.0,2017-04-18,2017-04-01,C1,0326,Aspec.NHR/poliepen/chron.rhinosinusitis
1.0,2017-04-18,2017-04-01,9902,0322,Hyperventilatie syndroom
1.0,2017-04-18,2017-04-01,316,0324,"Polychondritis, recidiverend"
1.0,2017-04-18,2017-04-01,317,0324,Morbus Behcet
1.0,2017-04-18,2017-04-01,1697,0305,Aangeboren afwijking hand/pols
1.0,2017-04-18,2017-04-01,3420,0308,Electrostimulatie bij functiestoornis perifere zenuwstelsel
1.0,2017-04-18,2017-04-01,302,0361,Screening late effecten van de behandeling van kanker
1.0,2017-04-18,2017-04-01,255,0303,Schouder (humerus)
1.0,2017-04-18,2017-04-01,1597,0305,Aangeboren afwijking elleboog/onderarm
1.0,2017-04-18,2017-04-01,2770,0328,Ao. wortel + CABG + MPL/MVR
1.0,2017-04-18,2017-04-01,1568,0305,Overige posttraumatische afwijking elleboog/onderarm (excl. groeischijfletsel)
1.0,2017-04-18,2017-04-01,252,0304,Reconstructie geslachtsorgaan mbv locale transpositielappen
1.0,2017-04-18,2017-04-01,301,0335,Aandoeningen van het urogenitaal systeem
1.0,2017-04-18,2017-04-01,2810,0308,Re-exploratie wgs directe postoperatieve complicatie wervelkolom
1.0,2017-04-18,2017-04-01,006,0313,Analyse buikklachten zonder diagnose
1.0,2017-04-18,2017-04-01,010,0313,Analyse gewrichtsklachten zonder diagnose
1.0,2017-04-18,2017-04-01,399,0313,Overige nierziekten nno
1.0,2017-04-18,2017-04-01,6299,0316,Overige immunologische aandoeningen
1.0,2017-04-18,2017-04-01,3301,0308,Trauma perifere zenuw: exploratie
1.0,2017-04-18,2017-04-01,7703,0316,Respiratoire insufficiëntie (beademingsindicatie)
1.0,2017-04-18,2017-04-01,3299,0316,Overige onderste luchtwegproblematiek
1.0,2017-04-18,2017-04-01,657,0301,Vaatafsluiting
1.0,2017-04-18,2017-04-01,301,0303,Neoplasma bijschildklier
1.0,2017-04-18,2017-04-01,151,0303,Osteoporose
1.0,2017-04-18,2017-04-01,431,0313,Bacteriaemie/sepsis
1.0,2017-04-18,2017-04-01,080,0313,Begeleiding stamceltransplantatie donor
1.0,2017-04-18,2017-04-01,3410,0308,Sympathectomie
1.0,2017-04-18,2017-04-01,444,0304,Polsartroplastiek kunstgewricht
1.0,2017-04-18,2017-04-01,036,0304,"Excisie tumoren met microvasculaire vrije lap, of multipele axiale lappen"
1.0,2017-04-18,2017-04-01,317,0303,Benigne neoplasma mamma / mastopathie
1.0,2017-04-18,2017-04-01,3325,0316,Short bowel syndroom
1.0,2017-04-18,2017-04-01,506,0304,"Littekencorrectie niet in FG, waarvoor transpositie of transplantatie >3%, of littekencorrectie w.o. in FG 1-3%"
1.0,2017-04-18,2017-04-01,2520,0308,Beperkte posterieure (cranio)cervicale spondylodese anders 2565
1.0,2017-04-18,2017-04-01,3405,0316,"Cor vitium, postcardiochirurgisch"
1.0,2017-04-18,2017-04-01,3406,0316,Decompensatio cordis
1.0,2017-04-18,2017-04-01,2565,0308,Uitgebreide decompressie met spondylodese en evt. instrumentatie hele wervelkolom (anders 2311)
1.0,2017-04-18,2017-04-01,2435,0328,Tetralogie van Fallot
1.0,2017-04-18,2017-04-01,2620,0328,Norwood operatie
1.0,2017-04-18,2017-04-01,0616,0327,Overige orgaanaandoeningen
1.0,2017-04-18,2017-04-01,1802,0322,Longembolie
1.0,2017-04-18,2017-04-01,104,0324,CPPD / overige kristalartritis
1.0,2017-04-18,2017-04-01,B99,0327,Overige amputaties
1.0,2017-04-18,2017-04-01,120,0306,Ureterobstructie overig (niet UVJ)
1.0,2017-04-18,2017-04-01,15,0306,Overige nierpathologie
1.0,2017-04-18,2017-04-01,0113,0327,Overige aangeboren aandoeningen beweging
1.0,2017-04-18,2017-04-01,0303,0330,Neurologische stofwisselingsziekten
1.0,2017-04-18,2017-04-01,701,0318,Hepatitis algemeen
1.0,2017-04-18,2017-04-01,1202,0305,Spondylodiscitis/osteomyelitis cervicale wervelkolom
1.0,2017-04-18,2017-04-01,2465,0328,MVR + TPL
1.0,2017-04-18,2017-04-01,234,0313,Paget
1.0,2017-04-18,2017-04-01,034,0304,"excisie benigne tumoren / PW waarvoor transpositie of transplantatie >3% niet in FG, idem voor maligne tumor in FG 1-3% of niet in FG >3%, meer dan 10 benigne tumoren / naevi, 2-5 maligne tumoren"
1.0,2017-04-18,2017-04-01,357,0304,Microchirurgisch herstel plexus brachialis
1.0,2017-04-18,2017-04-01,232,0335,Anemie
1.0,2017-04-18,2017-04-01,202,0320,"Angina pectoris, stabiel"
1.0,2017-04-18,2017-04-01,322,0313,Acute nierinsufficiëntie met dialyse
1.0,2017-04-18,2017-04-01,3410,0316,Ritmestoornissen
1.0,2017-04-18,2017-04-01,6005,0316,ITP
1.0,2017-04-18,2017-04-01,1486,0305,Groeischijflesie verworven schoudergordel/bovenarm
1.0,2017-04-18,2017-04-01,D44,0327,Spina bifida klasse 4
1.0,2017-04-18,2017-04-01,0512,0327,Dwarslaesie laag: T7-T12 en lager
1.0,2017-04-18,2017-04-01,1807,0305,Kniekuilcyste
1.0,2017-04-18,2017-04-01,92,0306,Lymfnodi peniscarcinoom
1.0,2017-04-18,2017-04-01,901,0320,Vetstofwisselingsstoornissen
1.0,2017-04-18,2017-04-01,324,0313,Chronische nierinsufficiëntie eGFR 30-60 ml/min
1.0,2017-04-18,2017-04-01,B22,0327,Transtibiale amputatie
1.0,2017-04-18,2017-04-01,1350,0305,Kanaal stenose
1.0,2017-04-18,2017-04-01,1692,0305,Overige posttraumatische afwijking hand/pols
1.0,2017-04-18,2017-04-01,1720,0305,Coxitis fugax
1.0,2017-04-18,2017-04-01,8909,0316,Acute alcoholintoxicatie / binge drinken
1.0,2017-04-18,2017-04-01,250,0303,Hals
1.0,2017-04-18,2017-04-01,052,0304,"Dermabrasie, peeling, laserbehandeling > 1% per behandeling"
1.0,2017-04-18,2017-04-01,62,0302,Maligne orofarynx tumor stadium I en II
1.0,2017-04-18,2017-04-01,404,0301,Sicca syndroom
1.0,2017-04-18,2017-04-01,931,0313,Complexe chronische obstipatie
1.0,2017-04-18,2017-04-01,001,0304,Eenvoudig 1 malig consult zonder behandeling < 20'
1.0,2017-04-18,2017-04-01,6104,0316,Koorts bij granulopenie
1.0,2017-04-18,2017-04-01,063,0313,sigmoïdoscopie op verzoek van derden
1.0,2017-04-18,2017-04-01,854,0301,Intracraniele pathologie
1.0,2017-04-18,2017-04-01,1231,0330,Lumbago
1.0,2017-04-18,2017-04-01,1299,0330,Overige aandoeningen bewegingsstelsel
1.0,2017-04-18,2017-04-01,F33,0327,Longaandoening klasse 3
1.0,2017-04-18,2017-04-01,441,0313,"Meningitis, encefalitis, hersenabces"
1.0,2017-04-18,2017-04-01,779,0313,Overige myeloproliferatieve aandoeningen nno
1.0,2017-04-18,2017-04-01,221,0362,Vena subclavia
1.0,2017-04-18,2017-04-01,3314,0316,Inflammatoire darmziekte (colitis ulcerosa / Morbus Crohn)
1.0,2017-04-18,2017-04-01,3502,0305,Contusio cerebri
1.0,2017-04-18,2017-04-01,511,0303,levertransplantie
1.0,2017-04-18,2017-04-01,1703,0316,cardiomyopathie
1.0,2017-04-18,2017-04-01,246,0313,"Groeistoornis, groeideficiëntie nno"
1.0,2017-04-18,2017-04-01,831,0313,Maligniteit testis
1.0,2017-04-18,2017-04-01,514,0313,Artrose
1.0,2017-04-18,2017-04-01,5107,0316,Skeletinfecties (bacteriële artritis / osteomyelitis)
1.0,2017-04-18,2017-04-01,000,0313,Traject
1.0,2017-04-18,2017-04-01,0204,0330,Benigne Neoplasma intracerebraal
1.0,2017-04-18,2017-04-01,335,0313,Chronische hemodialyse in zelfstandig behandelcentrum passief
1.0,2017-04-18,2017-04-01,1754,0305,Verworven stand- en lengteafwijking bekken/heup/bovenbeen
1.0,2017-04-18,2017-04-01,053,0306,Peyronie/kromstand
1.0,2017-04-18,2017-04-01,6101,0316,ALL (alleen diagnose)
1.0,2017-04-18,2017-04-01,B15,0327,Prothesevoorziening niet recente armamputatie
1.0,2017-04-18,2017-04-01,202,0324,Artritis psoriatica (vnl. axiaal)
1.0,2017-04-18,2017-04-01,7115,0316,Disorder of sexdevelopment (m.u.v. Adrenogenitaal syndroom en pubertas tarda)
1.0,2017-04-18,2017-04-01,270,0303,Enkelvoudig
1.0,2017-04-18,2017-04-01,1566,0305,Groeischijflesie verworven elleboog/onderarm
1.0,2017-04-18,2017-04-01,64,0302,Maligne hypofarynxtumor stadium I en II
1.0,2017-04-18,2017-04-01,1620,0308,Herstel congenitale craniele afwijkingen (encefalo- en/of meningocele)
1.0,2017-04-18,2017-04-01,312,0335,Decubitis
1.0,2017-04-18,2017-04-01,025,0313,Screening belaste familieanamnese
1.0,2017-04-18,2017-04-01,007,0304,"cosmetische chirurgie, derde compartiments zorg (niet declarabel)"
1.0,2017-04-18,2017-04-01,20,0390,Intoxicaties
1.0,2017-04-18,2017-04-01,11,1900,Horen
1.0,2017-04-18,2017-04-01,204,0303,Wervelkolom met ruggenmerglaesie
1.0,2017-04-18,2017-04-01,211,0303,Onderarm n.n.o.
